repo_name,pr_number,pr_title,detection_method
0xPlaygrounds/rig,868,docs(rig-967): add clause on AI assistance for coding in CONTRIBUTING.md,T2:T2:ai-assistance
0xPlaygrounds/rig,872,fix(rig-970): file URLs should be able to accept empty media type (Gemini),T1:T1:(tool suffix)
0xPlaygrounds/rig,873,fix: only youtube videos should accept null mime type (gemini),T1:T1:(tool suffix)
0xPlaygrounds/rig,925,fix(rig-991): convert nested structs to OpenAPI schema (Gemini),T1:T1:(tool suffix)
0xs34n/starknet.js,599,API doc autogenerated,T1:T1:auto-generated
adobe/helix-website,893,Blog archive: year/month grouped list (feed block) (Codex),label
adobe/helix-website,894,feat: implement blog archive for chronological post listing (Claude),label
adobe/helix-website,895,feat(blog): create blog archive page (Gemini),label
adobe/helix-website,896,Add blog archive page with posts grouped by year and month (Qwen),label
adobe/helix-website,903,[DevLive] Fix UTM tracking event-cta block,label
adobe/helix-website,910,feat(blog): add blog archive page,label
adobe/helix-website,911,feat: Add blog archive page with chronological grouping,label
adobe/helix-website,912,Add blog archive functionality,label
adobe/helix-website,913,feat: blog archive page grouped by year/month,label
adobe/helix-website,914,feat: Add blog archive page with year/month grouping,label
adobe/helix-website,945,[DevLive] Event Speaker Block - New,label
adobe/helix-website,946,fix(blog): exclude /blog/archive from blog post list,label
adobe/helix-website,947,docs: add AI-generated code disclosure requirement,label
adobe/helix-website,954,Add blog archive page with pagination,label
adobe/helix-website,955,feat: add blog archive page support,label
adobe/helix-website,956,feat: implement blog archive page to display all blog posts,label
adobe/helix-website,957,Build interactive blog archive,label
adobe/helix-website,960,feat: add service-level-objectives block with real-time SLO calculation,label
adobe/helix-website,961,feat: Add Service Level Objective (SLO) block,label
adobe/helix-website,962,feat: add service level objectives block with real-time uptime calculation,label
adobe/helix-website,963,refactor: use SLO calculator library from aemstatus.net,label
adobe/helix-website,964,fix: use green as default uptime color,label
adobe/helix-website,966,fix: resolve flaky publication-time test timing race condition,label
adobe/helix-website,967,fix: preserve aspect ratio for CDN logos in questionnaire block,label
adobe/helix-website,968,Fix image aspect ratio in questionnaire block CDN selector,label
adobe/helix-website,969,fix: maintain aspect ratio for CDN logos in questionnaire block,label
adobe/helix-website,970,fix(favicon): use AEM subcloud branding (#664),label
adobe/helix-website,971,fix(questionnaire): preserve aspect ratio for CDN logos,label
adobe/helix-website,972,Fix CDN logo aspect ratio in questionnaire block,label
adobe/helix-website,976,feat: add web-accessibility-checker skill,label
adobe/helix-website,977,feat: implement automatic light/dark mode using CSS light-dark() function,label
adobe/helix-website,978,feat: implement automatic light/dark mode switching,label
adobe/helix-website,979,feat: implement automatic light/dark mode switch,label
adobe/helix-website,982,Add copy button to code blocks,label
adobe/helix-website,983,Enhance 404 page with search and helpful suggestions,label
adobe/helix-website,984,Add reading progress bar and back to top button for long-form pages,label
adobe/helix-website,986,Add reading progress + back-to-top affordances,label
adobe/helix-website,989,"Enhance 404 page with search, popular pages, and key sections",label
adobe/helix-website,990,feat(404): enhance 404 page with helpful suggestions,label
adobe/helix-website,991,feat: enhance 404 page with search and navigation,label
adobe/helix-website,992,feat: enhance 404 page with search and navigation,label
adobe/helix-website,993,feat: add copy button to code blocks,label
adobe/helix-website,994,Claude 1,label
adobe/helix-website,995,feat: add reading progress bar and back to top button,label
adobe/helix-website,996,Add long-form reading helpers,label
adobe/helix-website,997,feat: implement blog archive with cards for all posts,label
adobe/helix-website,998,feat: Add comprehensive blog archive with year/month grouping and enhanced cards,label
adobe/helix-website,1000,feat(blog-archive): create blog archive block with year/month grouping,label
adobe/helix-website,1001,feat: Add comprehensive blog archive with card-based layout,label
adobe/helix-website,1002,feat: Add blog archive block with year/month grouping,label
adobe/helix-website,1003,feat: Add Blog Archive with Year/Month Grouping and Card Layout,label
adobe/helix-website,1004,Add grouped blog archive,label
adobe/helix-website,1008,feat: add copy button to code blocks,label
adobe/helix-website,1009,feat: add copy button to code blocks,label
adobe/helix-website,1010,feat: add copy button to code blocks,label
adobe/helix-website,1019,feat: implement automatic light/dark mode with Adobe Spectrum colors,label
adobe/helix-website,1049,feat: add reading progress bar and back-to-top button for enhanced UX,label
adobe/helix-website,1050,feat: enhance long-form page UX with reading progress and back-to-top,label
agno-agi/agno,6753,feat: add enrichment_model for LLM-generated document descriptions,L2:llm-generated
anomalyco/opencode,1722,draft: openai oauth using codex,T1:T1:by codex
anomalyco/opencode,4658,Add AI generated architecture documentation,T1:T1:ai [verb];T1:ai-generated
anomalyco/opencode,9150,fix: Align GPT context windows with Codex,T1:T1:by codex
anomalyco/opencode,9205,feat(codex): bring ChatGPT support into parity with Codex CLI,T1:T1:by codex
anomalyco/opencode,11667,"fix: when using codex sub, send the custom agent prompts as a separate developer message (previously sent as user message but api allows for instructions AND developer messages)",T1:T1:by codex
anomalyco/opencode,13095,fix(opencode): ACP sessions never get LLM-generated titles,L2:llm-generated
anomalyco/opencode,20242,feat: redesign sidebar with Codex-style unified view,T1:T1:by codex
bcollazo/deckgym-core,190,Will implementation by Claude,T1:T1:by/via [tool]
block-open-source/goose,4151,blog: Transforming AI Assistance with Goose Mentor Mode,T2:T2:ai-assistance
block-open-source/goose,4539,Add AGENTS.md for AI coding assistant support,T2:T2:ai coding assistant
block-open-source/goose,4892,feat: add commit command for AI-generated commits,L2:ai-generated
block-open-source/goose,6824,Remove autogenerated .gooseignore files that don't belong in repo,T1:T1:auto-generated
block/goose,4151,blog: Transforming AI Assistance with Goose Mentor Mode,T2:T2:ai-assistance
block/goose,4539,Add AGENTS.md for AI coding assistant support,T2:T2:ai coding assistant
block/goose,4892,feat: add commit command for AI-generated commits,L2:ai-generated
block/goose,6824,Remove autogenerated .gooseignore files that don't belong in repo,T1:T1:auto-generated
crowddotdev/crowd.dev,3822,fix: use category name instead of uuid generated by llm (CM-889),T1:T1:generated by [tool/ai]
diggerhq/digger,2328,fix/contributing guide ai assistance,T2:T2:ai-assistance
dstackai/dstack,3208,Add AI Assistance Notice,T2:T2:ai-assistance
fallenbagel/jellyseerr,1917,docs: add AI assistance notice,T2:T2:ai-assistance
fallenbagel/jellyseerr,1936,docs: update link to AI assistance policy in PR template,T2:T2:ai-assistance
fallenbagel/jellyseerr,2088,feat: Enhanced Network and Studio Discovery Pages,label
fallenbagel/jellyseerr,2098,ci: add a new workflow to close AI-generated PRs,L2:ai-generated
fallenbagel/jellyseerr,2101,ci: fix AI-generated workflow trigger,L2:ai-generated
fallenbagel/jellyseerr,2154,docs: update AI assistance notice link in pull request template,T2:T2:ai-assistance
fallenbagel/jellyseerr,2218,Adding calendar to seerr,label
fallenbagel/jellyseerr,2262,"feature: Dashboard / Landing page : add dashboard page, announcements, and feedback",label
fallenbagel/jellyseerr,2476,Upgrade GitHub Actions for Node 24 compatibility,label
fallenbagel/jellyseerr,2477,Upgrade GitHub Actions to latest versions,label
fallenbagel/jellyseerr,2490,fix: trim URL string inputs before validation,label
fallenbagel/jellyseerr,2496,"feat(mcp): add MCP server with tools, resources, and prompts",label
fallenbagel/jellyseerr,2564,feat: add Lidarr music support with genre search and security fixes,label
fallenbagel/jellyseerr,2623,feat(email): add DE email templates + locale-based template resolver,label
fallenbagel/jellyseerr,2624,feat(email): add German email templates (de),label
fallenbagel/jellyseerr,2631,"feat: modernize core dependencies (Node 24, React 19, Next 16, Tailwind 4)",label
fallenbagel/jellyseerr,2654,refactor(email): add default body fallback for test notification template,label
fallenbagel/jellyseerr,2697,feat(theme): add AMOLED-Strix theme with semantic CSS token system,label
fallenbagel/jellyseerr,2706,feat(helm): add dnsConfig template support (#2663),label
fallenbagel/jellyseerr,2726,Fixes #2720 - Keywords with no results show in autocomplete,label
fallenbagel/jellyseerr,2727,feat(discord): add thread support for Discord notifications #2719,label
gobley/gobley,198,Add sections about restrictions on AI-generated contents to the contribution guide,L2:ai-generated
huacnlee/gpui-component,1469,Add an example of a syntax error made by Copilot,T1:T1:by/via [tool]
jerryjliu/llama_index,20676,Sandbox LLM-generated code execution in EvaporateExtractor,L2:llm-generated
jerryjliu/llama_index,20768,Fix additionalProperties in auto-generated KG schema models,T1:T1:auto-generated
LadybirdBrowser/ladybird,4937,CMake: Exclude GlobalFontConfig.h from autogenerated clang module,T1:T1:auto-generated
LadybirdBrowser/ladybird,8791,Meta: Disallow PR descriptions entirely generated by AI,+title_generated_by
LadybirdWebBrowser/ladybird,4937,CMake: Exclude GlobalFontConfig.h from autogenerated clang module,T1:T1:auto-generated
LadybirdWebBrowser/ladybird,8791,Meta: Disallow PR descriptions entirely generated by AI,+title_generated_by
linuxfoundation/crowd.dev,3822,fix: use category name instead of uuid generated by llm (CM-889),T1:T1:generated by [tool/ai]
longbridge/gpui-component,1469,Add an example of a syntax error made by Copilot,T1:T1:by/via [tool]
longbridgeapp/gpui-component,1469,Add an example of a syntax error made by Copilot,T1:T1:by/via [tool]
nhost/nhost,580,fix: Auto-generated documentation descriptions,T1:T1:auto-generated
nhost/nhost,1730,"fix: remove `useAxios`, restore autogenerated docs",T1:T1:auto-generated
Project-HAMi/HAMi,1416,docs: Add AI assistance transparency policy in CONTRIBUTING.md,T2:T2:ai-assistance
quantumlib/Qualtran,92,Autogenerated Notebooks,T1:T1:auto-generated
quantumlib/Qualtran,542,Fix bug in auto generated `_decompose_with_context_` from `decompose_bloq` in GateWithRegisters,T1:T1:auto-generated
quantumlib/Qualtran,1016,Adding autogenerated notebooks for bloqs.rotations modules,T1:T1:auto-generated
rommapp/romm,1562,[ROMM-994] Autogenerated collections,T1:T1:auto-generated
rommapp/romm,1593,misc: Update code generated by openapi-typescript-codegen,T1:T1:code generated by
run-llama/llama_index,20676,Sandbox LLM-generated code execution in EvaporateExtractor,L2:llm-generated
run-llama/llama_index,20768,Fix additionalProperties in auto-generated KG schema models,T1:T1:auto-generated
SAP/cloud-sdk-java,594,Added Contributing with AI-generated code,T1:T1:ai-generated;T1:ai-generated [object]
seanjameshan/starknet.js,599,API doc autogenerated,T1:T1:auto-generated
seerr-team/seerr,1917,docs: add AI assistance notice,T2:T2:ai-assistance
seerr-team/seerr,1936,docs: update link to AI assistance policy in PR template,T2:T2:ai-assistance
seerr-team/seerr,2088,feat: Enhanced Network and Studio Discovery Pages,label
seerr-team/seerr,2098,ci: add a new workflow to close AI-generated PRs,L2:ai-generated
seerr-team/seerr,2101,ci: fix AI-generated workflow trigger,L2:ai-generated
seerr-team/seerr,2154,docs: update AI assistance notice link in pull request template,T2:T2:ai-assistance
seerr-team/seerr,2218,Adding calendar to seerr,label
seerr-team/seerr,2262,"feature: Dashboard / Landing page : add dashboard page, announcements, and feedback",label
seerr-team/seerr,2476,Upgrade GitHub Actions for Node 24 compatibility,label
seerr-team/seerr,2477,Upgrade GitHub Actions to latest versions,label
seerr-team/seerr,2490,fix: trim URL string inputs before validation,label
seerr-team/seerr,2496,"feat(mcp): add MCP server with tools, resources, and prompts",label
seerr-team/seerr,2564,feat: add Lidarr music support with genre search and security fixes,label
seerr-team/seerr,2623,feat(email): add DE email templates + locale-based template resolver,label
seerr-team/seerr,2624,feat(email): add German email templates (de),label
seerr-team/seerr,2631,"feat: modernize core dependencies (Node 24, React 19, Next 16, Tailwind 4)",label
seerr-team/seerr,2654,refactor(email): add default body fallback for test notification template,label
seerr-team/seerr,2697,feat(theme): add AMOLED-Strix theme with semantic CSS token system,label
seerr-team/seerr,2706,feat(helm): add dnsConfig template support (#2663),label
seerr-team/seerr,2726,Fixes #2720 - Keywords with no results show in autocomplete,label
seerr-team/seerr,2727,feat(discord): add thread support for Discord notifications #2719,label
sst/opencode,1722,draft: openai oauth using codex,T1:T1:by codex
sst/opencode,4658,Add AI generated architecture documentation,T1:T1:ai [verb];T1:ai-generated
sst/opencode,9150,fix: Align GPT context windows with Codex,T1:T1:by codex
sst/opencode,9205,feat(codex): bring ChatGPT support into parity with Codex CLI,T1:T1:by codex
sst/opencode,11667,"fix: when using codex sub, send the custom agent prompts as a separate developer message (previously sent as user message but api allows for instructions AND developer messages)",T1:T1:by codex
sst/opencode,13095,fix(opencode): ACP sessions never get LLM-generated titles,L2:llm-generated
sst/opencode,20242,feat: redesign sidebar with Codex-style unified view,T1:T1:by codex
starknet-io/starknet.js,599,API doc autogenerated,T1:T1:auto-generated
topgrade-rs/topgrade,771,Unitest created with aider.chat to archive 100% codecoverage,+title_generated_by
UKGovernmentBEIS/inspect_evals,1157,Add policy around AI-generated PR comments,L2:ai-generated;L2:ai-generated [object]
