repo_name,cat1,policy_first_date,human_label,language,total_prs_db
0x2E/fusion,permissive,2026-02-11 16:29:58,Y,TypeScript,111
0xPlaygrounds/rig,permissive,2025-09-29 17:15:57,Y,Rust,930
0xs34n/starknet.js,permissive,2024-07-02 19:13:52,Y,TypeScript,1088
143mailliw/hummingbird,permissive,2026-03-20 13:50:35,Y,Rust,101
143mailliw/muzak,permissive,2026-03-20 13:50:35,Y,Rust,101
567-labs/instructor,permissive,2025-03-19 00:36:23,Y,Python,1470
abhigyanpatwari/GitNexus,permissive,2026-03-25 06:48:41,Y,TypeScript,582
aboutcode-org/dejacode,permissive,2026-03-01 21:59:41,Y,Python,234
abstractqqq/polars_ds_extension,permissive,2026-03-04 03:14:37,Y,Rust,326
ace-step/ACE-Step-1.5,permissive,2026-02-10 14:41:10,Y,Python,550
adil192/saber,permissive,2026-01-09 02:24:09,Y,Dart,880
adityachandelgit/BookLore,permissive,2026-02-08 19:13:34,Y,Java,1550
adobe/helix-website,permissive,2025-10-16 11:47:27,Y,JavaScript,933
Agent-Field/agentfield,permissive,2025-12-24 04:03:50,Y,Go,315
agno-agi/agno,permissive,2024-02-10 18:29:33,Y,Python,4420
AI-SDC/ACRO,permissive,2026-04-20 15:06:13,Y,Python,218
Aidoku-Community/sources,permissive,2026-02-22 21:22:20,Y,Rust,226
alan-turing-institute/autoemulate,permissive,2026-01-29 11:46:52,Y,Python,460
Alaydriem/bedrock-voice-chat,permissive,2026-04-04 15:25:54,Y,Rust,75
alexanderwanyoike/the0,permissive,2025-11-26 23:06:33,Y,TypeScript,217
alextran1502/immich,prohibited,2026-01-06 15:07:44,Y,Dart,10939
alfaArghya/alfa-leetcode-api,permissive,2025-10-22 14:59:26,Y,TypeScript,41
alibaba/page-agent,permissive,2025-09-29 08:58:07,Y,TypeScript,274
alipay/fury,permissive,2026-03-11 04:15:09,Y,Java,2190
alpenlabs/alpen,permissive,2025-08-29 17:40:03,Y,Rust,1514
amachino/qubex,permissive,2026-04-09 12:18:52,Y,Python,208
Amansingh0807/GenForm,permissive,2025-12-30 11:47:50,Y,TypeScript,38
AndyMik90/Aperant,permissive,2025-12-13 20:20:59,Y,TypeScript,1135
AndyMik90/Auto-Claude,permissive,2025-12-13 20:20:59,Y,TypeScript,1135
anomalyco/opencode,prohibited,2025-10-18 19:10:14,Y,TypeScript,9632
ansible-collections/community.clickhouse,permissive,2026-04-14 11:21:23,Y,Python,159
ansible/terraform-provider-aap,permissive,2025-11-24 18:50:01,Y,Go,148
antiwork/gumroad,permissive,2025-08-25 21:49:35,Y,Ruby,3499
antoniorodr/Cronboard,permissive,2026-02-15 10:21:48,Y,Python,15
anza-xyz/kit,permissive,2026-02-11 17:22:35,Y,TypeScript,1370
anza-xyz/solana-web3.js,permissive,2026-02-11 17:22:35,Y,TypeScript,1370
apache/fory,permissive,2026-03-11 04:15:09,Y,Java,2190
apache/fury,permissive,2026-03-11 04:15:09,Y,Java,2190
apache/incubator-fury,permissive,2026-03-11 04:15:09,Y,Java,2190
apache/polaris,permissive,2026-03-19 18:50:37,Y,Java,3616
apollographql/apollo-mcp-server,permissive,2026-04-10 20:50:49,Y,Rust,641
apple/containerization,permissive,2025-11-12 22:09:24,Y,Swift,572
arabcoders/watchstate,permissive,2026-04-09 15:01:13,Y,PHP,572
arabcoders/ytptube,permissive,2026-01-02 18:04:43,Y,Python,445
arhamgarg/DSA,prohibited,2025-09-09 15:45:12,Y,Java,75
aristocratos/btop,permissive,2025-12-04 19:55:15,Y,C++,535
arpanghosh8453/garmin-grafana,permissive,2026-02-22 01:56:28,Y,Python,77
ashwin-nat/pits-n-giggles,permissive,2026-04-16 10:39:28,Y,Python,190
astral-sh/ruff,permissive,2026-03-17 17:32:03,Y,Rust,16087
astral-sh/uv,permissive,2026-03-15 12:43:01,Y,Rust,10176
autobrr/netronome,permissive,2026-02-03 12:00:28,Y,TypeScript,165
avateam-it-systemhaus/mkdocs-kroki-plugin,permissive,2026-02-14 13:11:23,Y,Python,71
awslabs/aws-sdk-rust,permissive,2026-03-31 21:23:09,Y,Rust,374
axllent/mailpit,permissive,2026-02-05 04:05:12,Y,Go,253
azalea-rs/azalea,prohibited,2026-02-22 02:44:45,Y,Rust,243
Azure-Samples/azure-search-openai-demo,permissive,2024-11-21 19:17:52,Y,Python,1594
backstage/community-plugins,permissive,2026-02-09 13:36:52,Y,TypeScript,7988
bbilly1/tubearchivist,permissive,2026-02-06 10:40:51,Y,Python,277
bcollazo/deckgym-core,permissive,2025-10-13 17:23:07,Y,Rust,213
BeechatNetworkSystemsLtd/Reticulum-rs,permissive,2026-01-26 08:09:51,Y,Rust,49
bettergovph/bettergov,permissive,2025-09-25 15:10:18,Y,TypeScript,406
beyond-all-reason/bar-lobby,permissive,2026-03-23 19:34:22,Y,Vue,288
beyond-all-reason/tachyon,permissive,2026-04-07 06:55:40,Y,TypeScript,103
biomejs/biome,permissive,2025-10-26 15:26:44,Y,Rust,5833
bknd-io/bknd,permissive,2026-02-28 18:40:44,Y,TypeScript,325
block-open-source/goose,permissive,2025-09-26 20:03:58,Y,Python,6366
block/elasticgraph,permissive,2025-07-16 17:33:51,Y,Ruby,1087
block/goose,permissive,2025-09-26 20:03:58,Y,Rust,6366
BlockstreamResearch/simfony,permissive,2025-11-26 20:48:36,Y,Rust,197
BlockstreamResearch/SimplicityHL,permissive,2025-11-26 20:48:36,Y,Rust,197
blueshift-gg/sbpf,permissive,2025-08-07 02:22:19,Y,Rust,103
BlueSquare23/web-lgsm,permissive,2026-02-23 04:10:18,Y,Python,21
bmad-code-org/BMAD-METHOD,permissive,2025-06-13 12:27:22,Y,JavaScript,1021
bmadcode/BMAD-METHOD,permissive,2025-06-13 12:27:22,Y,JavaScript,1021
booklore-app/BookLore,permissive,2026-02-08 19:13:34,Y,Java,1550
boshen/oxc,permissive,2025-12-03 10:17:22,Y,Rust,17350
bosun-ai/swiftide,permissive,2024-06-26 14:42:40,Y,Rust,979
boxyhq/jackson,permissive,2026-03-20 08:48:33,Y,TypeScript,3848
bpg/terraform-provider-proxmox,permissive,2026-01-08 13:21:10,Y,Go,1948
bscript/rep,permissive,2025-12-08 12:08:50,Y,JavaScript,39
bsoc-bitbyte/Nudj,prohibited,2025-05-30 07:00:07,Y,Kotlin,38
buresdv/cork,prohibited,2026-01-08 19:41:16,Y,Swift,262
burn-rs/burn,permissive,2026-03-03 14:27:45,Y,Rust,3359
c2siorg/b0bot,permissive,2026-03-04 17:36:04,Y,Python,118
cachebag/nmrs,permissive,2026-04-09 18:04:46,Y,Rust,234
cactus-compute/cactus,prohibited,2026-02-26 07:37:20,Y,C,433
caelestia-dots/caelestia,prohibited,2025-08-16 06:55:25,Y,TypeScript,63
caelestia-dots/cli,prohibited,2025-08-04 05:40:17,Y,Python,61
camel-ai/camel,permissive,2023-06-03 19:55:44,Y,Python,2497
canonical/concierge,permissive,2026-01-29 22:56:44,Y,Go,129
CAREamics/careamics,permissive,2026-03-04 10:22:09,Y,Python,562
carlos-algms/agentic.nvim,permissive,2026-04-18 21:24:07,Y,Lua,126
cel-rust/cel-rust,permissive,2026-01-12 21:50:43,Y,Rust,195
cerbos/cerbos,permissive,2025-09-19 07:37:30,Y,Go,2644
charliermarsh/ruff,permissive,2026-03-17 17:32:03,Y,Rust,16087
chaynHQ/bloom-backend,prohibited,2026-03-24 15:51:23,Y,TypeScript,960
chaynHQ/bloom-frontend,prohibited,2026-03-24 14:38:47,Y,TypeScript,1617
checkpoint-restore/checkpointctl,permissive,2026-01-25 16:48:07,Y,Go,184
chimera-linux/cports,prohibited,2025-04-04 18:32:47,Y,Python,5033
ChrisTitusTech/linutil,permissive,2024-09-18 19:18:00,Y,Shell,849
chunkhound/chunkhound,permissive,2025-09-20 12:44:25,Y,Python,149
cjpais/Handy,permissive,2026-01-10 02:27:21,Y,Rust,515
clarkmcc/cel-rust,permissive,2026-01-12 21:50:43,Y,Rust,195
ClassicOldSong/Apollo,permissive,2025-07-13 19:52:03,Y,C++,58
ClickHouse/spark-clickhouse-connector,permissive,2026-01-06 09:30:35,Y,Scala,339
clickvote/clickvote,prohibited,2026-03-20 14:57:17,Y,TypeScript,623
clidey/whodb,permissive,2026-04-20 14:29:18,Y,Go,772
cloudprober/cloudprober,prohibited,2026-01-10 10:50:46,Y,Go,1004
cloudshipai/station,permissive,2025-07-31 18:32:03,Y,Go,79
cmackenzie1/torii-rs,permissive,2025-03-15 18:24:05,Y,Rust,78
cmintey/wishlist,permissive,2026-02-24 03:17:06,Y,TypeScript,464
comet-ml/comet-llm,permissive,2026-02-24 15:06:24,Y,Python,5727
comet-ml/opik,permissive,2026-02-24 15:06:24,Y,Python,5727
commetchat/commet,permissive,2026-02-24 09:31:01,Y,Dart,460
compio-rs/compio,permissive,2026-02-12 07:59:28,Y,Rust,690
connorgallopo/Tracearr,permissive,2026-01-26 15:45:16,Y,TypeScript,172
containerbuildsystem/cachi2,permissive,2026-02-23 16:28:44,Y,Python,1232
containers/container-libs,permissive,2026-03-02 22:36:50,Y,Go,477
containers/ramalama,permissive,2025-04-23 01:26:28,Y,Python,2045
controlplaneio-fluxcd/flux-operator,permissive,2026-04-13 14:22:04,Y,Go,601
coollabsio/coolify,permissive,2025-12-28 11:51:54,Y,PHP,4055
cosmic-utils/clipboard-manager,permissive,2026-03-21 16:49:11,Y,Rust,94
cpacker/MemGPT,permissive,2026-04-07 23:48:25,Y,Python,2017
crewAIInc/crewAI,permissive,2026-03-25 08:13:55,Y,Python,3325
crmne/ruby_llm,permissive,2026-01-25 13:48:35,Y,Ruby,327
CrociDB/bulletty,permissive,2025-10-01 14:53:18,Y,Rust,130
crowddotdev/crowd.dev,permissive,2025-10-07 12:58:38,Y,TypeScript,3459
cryspen/hax,permissive,2026-02-13 10:22:13,Y,OCaml,1069
cue-lang/cue,permissive,2026-02-13 13:04:54,Y,Go,155
cyberofficial/synthalingua,prohibited,2023-12-07 08:27:26,Y,Python,94
d-eniz/jupymd,permissive,2026-01-16 16:04:39,Y,TypeScript,17
dahlia/fedify,permissive,2026-01-24 04:12:08,Y,TypeScript,272
dalance/veryl,permissive,2026-04-13 03:23:00,Y,Rust,1694
damontecres/Wholphin,permissive,2026-02-02 15:34:30,Y,Kotlin,506
damus-io/damus,permissive,2025-11-06 18:27:16,Y,Swift,1231
Dark-Alex-17/managarr,permissive,2026-02-25 00:41:34,Y,Rust,25
databuddy-analytics/Databuddy,permissive,2026-01-23 09:06:41,Y,TypeScript,363
davidcole1340/ext-php-rs,permissive,2025-07-01 15:02:09,Y,Rust,510
davidlattimore/wild,permissive,2026-03-04 00:50:16,Y,Rust,1478
DayuanJiang/next-ai-draw-io,permissive,2026-01-04 16:37:32,Y,TypeScript,483
dbt-labs/dbt-mcp,permissive,2025-06-26 17:51:28,Y,Python,612
deadlock-mod-manager/deadlock-mod-manager,permissive,2026-02-28 15:50:13,Y,TypeScript,170
deborahgu/soundcork,permissive,2025-11-28 18:33:29,Y,Python,121
delta-incubator/delta-kernel-rs,permissive,2026-03-03 14:11:55,Y,Rust,1570
delta-io/delta-kernel-rs,permissive,2026-03-03 14:11:55,Y,Rust,1570
deltav-station/delta-v,prohibited,2025-02-18 03:05:49,Y,C#,4667
developmentseed/eoapi-k8s,permissive,2026-03-09 13:31:46,Y,Python,381
diggerhq/digger,permissive,2025-10-20 19:34:06,Y,Go,2016
Dispatcharr/Dispatcharr,permissive,2026-03-10 15:59:07,Y,Python,376
dloebl/cgif,permissive,2026-02-22 11:21:57,Y,C,102
dlvhdr/diffnav,permissive,2026-03-27 15:51:00,Y,Go,70
dlvhdr/gh-dash,permissive,2026-03-15 15:24:51,Y,Go,492
dmf-mxl/mxl,permissive,2026-04-15 14:29:12,Y,C++,215
documenso/documenso,permissive,2026-01-13 23:10:20,Y,TypeScript,1811
dongdongbh/Mindwtr,permissive,2026-02-21 04:55:30,Y,TypeScript,57
dotimplement/HealthChain,permissive,2025-12-17 20:27:24,Y,Python,105
DSACMS/iv-cbv-payroll,prohibited,2026-03-02 16:54:27,Y,Ruby,1595
dstackai/dstack,permissive,2025-10-20 11:00:14,Y,Python,2094
dune3d/dune3d,prohibited,2026-03-21 22:27:28,Y,C,63
duriantaco/skylos,permissive,2026-04-04 08:00:21,Y,Python,110
dvankley/firefly-plaid-connector-2,permissive,2025-11-18 01:24:46,Y,Kotlin,87
earendil-works/absurd,permissive,2025-10-31 22:11:41,Y,TypeScript,58
EFForg/rayhunter,permissive,2026-02-24 22:45:28,Y,Rust,486
eigent-ai/eigent,permissive,2026-02-13 09:45:44,Y,TypeScript,920
electrikmilk/cherri,permissive,2025-11-28,Y,Go,58
elgatosf/streamdeck,permissive,2026-02-02 12:34:08,Y,TypeScript,118
embrace-io/embrace-android-sdk,permissive,2025-12-17 11:03:45,Y,Kotlin,3263
emilyploszaj/emi,permissive,2025-12-27 23:14:37,Y,Java,149
emlearn/emlearn-micropython,permissive,2025-10-31 22:09:15,Y,Jupyter Notebook,37
enuno/unifi-mcp-server,permissive,2025-10-18 04:10:44,Y,Python,45
envoyproxy/ai-gateway,permissive,2025-12-18 01:25:32,Y,Go,1588
ephemeraHQ/converse-app,permissive,2025-03-21 18:26:26,Y,TypeScript,955
ethersync/ethersync,permissive,2026-02-25 11:04:54,Y,Rust,233
eventual-inc/daft,permissive,2026-02-19 15:01:14,Y,Rust,5009
extphprs/ext-php-rs,permissive,2025-07-01 15:02:09,Y,Rust,510
ExtremeFLOW/neko,permissive,2026-03-17 08:44:33,Y,Fortran,1996
eyaltoledano/claude-task-master,permissive,2025-05-27 22:59:14,Y,JavaScript,861
ezyang/codemcp,permissive,2025-03-17 01:36:01,Y,Python,249
facebook/pyrefly,permissive,2026-02-18 16:13:45,Y,Rust,1095
fallenbagel/jellyseerr,permissive,2025-09-23 12:14:50,Y,TypeScript,1270
farion1231/cc-switch,permissive,2026-04-02 08:26:26,Y,Rust,446
fastplotlib/fastplotlib,permissive,2026-03-01 03:12:07,Y,Python,484
fedify-dev/fedify,permissive,2026-01-24 04:12:08,Y,TypeScript,272
finops-open-cost-and-usage-spec/focus_spec,permissive,2026-02-12 23:22:15,Y,Python,864
flipcomputing/flock,permissive,2026-03-23 08:28:17,Y,JavaScript,449
floatpane/matcha,permissive,2026-03-09 17:45:18,Y,Go,394
Floof-Station/Panta-Rhei,prohibited,2025-02-18 03:05:49,Y,C#,423
floppy/van_dam,permissive,2025-08-11 10:47:32,Y,Ruby,4541
fohrloop/wakepy,permissive,2026-02-07 13:15:54,Y,Python,386
foss42/api-dash,permissive,2026-02-02 22:52:52,Y,Dart,1117
foss42/apidash,permissive,2026-02-02 22:52:52,Y,Dart,1117
fossbilling/fossbilling,permissive,2025-11-25 00:02:21,Y,PHP,2619
foundry-rs/foundry,permissive,2025-10-06 16:56:46,Y,Rust,8208
freenet/freenet-core,permissive,2026-02-12 03:42:24,Y,Rust,3008
freenet/locutus,permissive,2026-02-12 03:42:24,Y,Rust,3008
freenet/river,permissive,2026-02-12 04:36:43,Y,Rust,112
gabboman/wafrn,prohibited,2025-04-20 19:10:34,Y,TypeScript,366
gabrieldrn/carbon-compose,permissive,2026-02-15 16:56:28,Y,Kotlin,69
getarcaneapp/arcane,permissive,2026-02-01 18:00:45,Y,Go,1410
getfloresta/Floresta,permissive,2026-02-06 00:57:05,Y,Rust,725
gethomepage/homepage,permissive,2024-04-08 15:11:55,Y,JavaScript,1670
getkyo/kyo,permissive,2025-03-25 23:09:10,Y,Scala,1235
getmaxun/maxun,permissive,2026-03-03 14:03:34,Y,TypeScript,736
ggerganov/llama.cpp,permissive,2025-11-30,Y,C++,11070
ggml-org/llama.cpp,permissive,2025-11-30,Y,C++,11070
ghostty-org/ghostty,permissive,2025-08-19,Y,Zig,4607
github/spec-kit,permissive,2025-09-21 04:34:55,Y,Python,871
gitroomhq/postiz-app,prohibited,2026-03-20 14:57:17,Y,TypeScript,623
gittuf/gittuf,permissive,2026-03-25 22:29:59,Y,Go,1071
gnolang/gno,permissive,2026-03-17 16:15:02,Y,Go,3961
go-skynet/LocalAI,permissive,2026-03-08 17:27:00,Y,Go,7666
GoBetterAuth/go-better-auth,permissive,2026-04-02 05:49:51,Y,Go,46
gobley/gobley,permissive,2025-09-06 09:43:29,Y,Kotlin,133
goharbor/harbor-cli,permissive,2026-04-07 13:25:19,Y,Go,540
google-deepmind/alphafold3,permissive,2026-02-09 08:41:32,Y,Python,65
google/adk-java,permissive,2025-06-20 18:20:05,Y,Java,980
google/adk-js,permissive,2025-08-14 22:35:08,Y,TypeScript,188
google/heir,permissive,2026-03-05 04:33:58,Y,C++,2058
greenpau/caddy-security,permissive,2026-03-18 10:03:25,Y,Go,20
greenpau/go-authcrunch,prohibited,2026-03-18 10:00:30,Y,Go,72
greptimeteam/greptimedb,permissive,2025-12-23 14:20:21,Y,Rust,5932
gungraun/gungraun,permissive,2026-03-17 16:26:59,Y,Rust,493
h3ravel/framework,permissive,2025-10-02 11:56:55,Y,TypeScript,38
hacspec/hax,permissive,2026-02-13 10:22:13,Y,OCaml,1069
hamza417/inure,permissive,2025-11-17 06:22:11,Y,Kotlin,364
happier-dev/happier,permissive,2026-02-26 12:46:08,Y,TypeScript,70
harrison314/BouncyHsm,permissive,2026-03-23 19:24:22,Y,C#,31
HelpChat/DeluxeMenus,permissive,2025-06-08 15:43:11,Y,Java,113
hermetoproject/cachi2,permissive,2026-02-23 16:28:44,Y,Python,1232
hermetoproject/hermeto,permissive,2026-02-23 16:28:44,Y,Python,1232
HexmosTech/FreeDevTools,permissive,2025-09-30 11:34:03,Y,TypeScript,112
hhat-lang/hhat_lang,permissive,2026-02-16 04:24:49,Y,Python,70
HiEventsDev/hi.events,permissive,2026-04-06 21:01:19,Y,PHP,729
hikari-no-yume/touchhle,prohibited,2025-07-14 13:13:04,Y,Rust,112
hirotomoyamada/yamada-ui,permissive,2026-03-17 09:21:33,Y,TypeScript,3727
huacnlee/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
huggingface/lerobot,permissive,2026-02-28 13:41:28,Y,Python,2182
huggingface/safetensors,permissive,2026-03-05 11:00:19,Y,Python,475
hummingbird-player/hummingbird,permissive,2026-03-20 13:50:35,Y,Rust,101
hummingbird-project/hummingbird,permissive,2026-03-27 17:51:57,Y,Swift,612
hummingbird-project/hummingbird-websocket,permissive,2026-03-28 10:21:25,Y,Swift,109
hydraide/hydraide,permissive,2025-07-30 16:02:32,Y,Go,122
hynek/stamina,permissive,2026-04-13 06:33:08,Y,Python,92
hynek/svcs,permissive,2026-02-24 08:28:05,Y,Python,103
hyzyla/pdfium,permissive,2026-02-22 12:55:15,Y,TypeScript,26
iai-callgrind/iai-callgrind,permissive,2026-03-17 16:26:59,Y,Rust,493
iam-py-test/my_filters_001,permissive,2026-02-17 17:36:31,Y,JavaScript,24
idiap/sdialog,permissive,2025-09-24 10:36:07,Y,Python,78
ieedan/jsrepo,permissive,2025-11-24 15:31:02,Y,TypeScript,618
immich-app/immich,prohibited,2026-01-06 15:07:44,Y,TypeScript,10939
imputnet/helium,prohibited,2026-03-16 16:12:31,Y,C++,456
inclusionAI/AReaL,permissive,2025-10-21 09:08:41,Y,Python,894
Inferara/inference,permissive,2025-12-24 05:54:35,Y,Rust,84
infinidoge/nix-minecraft,prohibited,2025-08-28 18:42:06,Y,Nix,78
instructor-ai/instructor,permissive,2025-03-19 00:36:23,Y,Python,1470
IntegerAlex/hasty-server,permissive,2024-10-01 08:27:52,Y,JavaScript,69
intel/compile-time-init-build,permissive,2026-02-20 16:43:11,Y,C++,773
intel/cpp-baremetal-senders-and-receivers,permissive,2026-02-20 21:12:27,Y,C++,246
intel/safe-arithmetic,permissive,2026-02-20 21:11:53,Y,C++,89
InterceptSuite/ProxyBridge,permissive,2026-01-23 14:59:16,Y,C,15
isbeorn/nina,permissive,2026-04-15 23:00:21,Y,C#,188
jakestanger/ironbar,permissive,2026-04-14 21:24:01,Y,Rust,932
jaysmito101/cgl,permissive,2023-02-12 17:38:11,Y,C,25
jerryjliu/llama_index,permissive,2025-04-29 14:01:51,Y,Python,8931
jlowin/fastmcp,permissive,2026-03-14 20:25:35,Y,Python,2198
joaomdmoura/crewAI,permissive,2026-03-25 08:13:55,Y,Python,3325
jokob-sk/NetAlertX,permissive,2026-03-26 20:57:10,Y,JavaScript,450
jorenn92/maintainerr,permissive,2026-01-02 23:16:05,Y,TypeScript,2171
jovian-experiments/jovian-nixos,permissive,2023-09-24 02:40:30,Y,Nix,353
jozu-ai/kitops,permissive,2025-10-03 22:35:06,Y,Go,879
jsrepojs/jsrepo,permissive,2025-11-24 15:31:02,Y,TypeScript,618
jxnl/instructor,permissive,2025-03-19 00:36:23,Y,Python,1470
jxnl/openai_function_call,permissive,2025-03-19 00:36:23,Y,Python,1470
kaito-project/kubeairunway,permissive,2026-01-13 17:57:41,Y,TypeScript,153
kcenon/claude_code_agent,permissive,2025-12-27 05:55:23,Y,TypeScript,371
KempnerInstitute/kempner-computing-handbook,permissive,2024-03-05 18:21:31,Y,JavaScript,163
kesslerio/attio-mcp-server,permissive,2026-02-20 02:42:29,Y,TypeScript,673
kgateway-dev/community,permissive,2026-02-27 15:40:14,Y,Shell,117
Kieirra/murmure,permissive,2026-02-16 21:25:31,Y,TypeScript,133
kite-org/kite,permissive,2026-03-24 03:54:43,Y,TypeScript,298
kitops-ml/kitops,permissive,2025-10-03 22:35:06,Y,Go,879
kmesh-net/kmesh,permissive,2026-02-10 07:09:48,Y,Go,1111
konflux-ci/build-definitions,permissive,2025-10-15 12:58:11,Y,Shell,3401
kornia/kornia-rs,permissive,2025-12-31 17:14:25,Y,Rust,619
Kotlin/kotlinx-rpc,permissive,2026-04-02 14:17:50,Y,Kotlin,569
kubernetes-sigs/agent-sandbox,permissive,2026-04-17 22:29:03,Y,Go,455
kubeshop/testkube,permissive,2026-02-23 10:18:32,Y,Go,4238
kubestellar/docs,permissive,2025-11-20 16:35:21,Y,TypeScript,668
kubestellar/ui,permissive,2025-07-28 21:07:48,Y,TypeScript,1463
kubetail-org/kubetail,permissive,2026-01-03 05:21:54,Y,Go,756
kyu08/fzf-make,permissive,2025-08-24 14:01:30,Y,Rust,400
LadybirdBrowser/ladybird,permissive,2024-12-04 14:13:39,Y,C++,7416
LadybirdWebBrowser/ladybird,permissive,2024-12-04 14:13:39,Y,C++,7416
LeeMangold/OpenGRC,permissive,2026-01-22 22:09:37,Y,PHP,241
letta-ai/letta,permissive,2026-04-07 23:48:25,Y,Python,2017
Letterbook/Letterbook,permissive,2023-08-12 18:58:15,Y,C#,305
lightningdevkit/ldk-server,permissive,2026-01-23 20:27:20,Y,Rust,150
lightspeed-core/lightspeed-stack,permissive,2025-06-09 11:31:53,Y,Python,1507
lingarr-translate/lingarr,permissive,2025-12-12 11:36:37,Y,C#,151
linkml/linkml,permissive,2026-01-29 09:35:00,Y,Python,1476
linuxfoundation/crowd.dev,permissive,2025-10-07 12:58:38,Y,TypeScript,3459
llama-farm/llamafarm,permissive,2025-09-22 16:04:52,Y,Python,534
longbridge/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
longbridgeapp/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
Lramseyer/vaporview,permissive,2026-02-19 03:41:16,Y,TypeScript,49
lrstanley/bubblezone,permissive,2026-04-18 21:23:37,Y,Go,42
lrstanley/go-ytdlp,permissive,2026-04-18 21:24:53,Y,Go,102
lumen-oss/lux,prohibited,2025-06-09 13:18:35,Y,Rust,1024
lxc/incus,prohibited,2025-05-07 04:02:59,Y,Go,2054
lxc/incus-os,prohibited,2025-11-05 00:08:46,Y,Go,696
